Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Dec),0.10%,,0.30%,2023-01-18 13:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jan),0.60%,,0.20%,2023-02-16 13:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Feb),0.20%,,0.50%,2023-03-15 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Mar),0.10%,0.10%,0.20%,2023-04-13 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Apr),0.20%,,0.10%,2023-05-11 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (May),0.00%,,0.10%,2023-06-14 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jun),0.10%,,0.00%,2023-07-13 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jul),0.20%,0.10%,0.10%,2023-08-11 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Aug),0.30%,,0.30%,2023-09-14 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Sep),0.20%,0.20%,0.20%,2023-10-11 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Oct),0.10%,,0.30%,2023-11-15 13:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Nov),0.10%,,0.10%,2023-12-13 13:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Dec),0.20%,,0.10%,2024-01-12 13:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Jan),0.60%,0.10%,0.20%,2024-02-16 13:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Feb),0.40%,,0.60%,2024-03-14 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Mar),0.20%,0.20%,0.30%,2024-04-11 12:30:00
USD,1.0,PPI ex. Food/Energy/Transport (MoM) (Apr),0.40%,,0.20%,2024-05-14 12:30:00
