Cur.,Imp.,Event,Actual,Forecast,Previous,datetime
USD,2.0,Import Price Index (MoM) (Dec),0.40%,-0.90%,-0.70%,2023-01-13 13:30:00
USD,2.0,Import Price Index (MoM) (Jan),-0.20%,-0.20%,-0.10%,2023-02-17 13:30:00
USD,2.0,Import Price Index (MoM) (Feb),-0.10%,-0.20%,-0.40%,2023-03-16 12:30:00
USD,2.0,Import Price Index (MoM) (Mar),-0.60%,-0.10%,-0.20%,2023-04-14 12:30:00
USD,2.0,Import Price Index (MoM) (Apr),0.40%,0.30%,-0.80%,2023-05-12 12:30:00
USD,2.0,Import Price Index (MoM) (May),-0.60%,-0.60%,0.30%,2023-06-15 12:30:00
USD,2.0,Import Price Index (MoM) (Jun),-0.20%,-0.10%,-0.40%,2023-07-14 12:30:00
USD,2.0,Import Price Index (MoM) (Jul),0.40%,0.20%,-0.10%,2023-08-15 12:30:00
USD,2.0,Import Price Index (MoM) (Aug),0.50%,0.30%,0.10%,2023-09-15 12:30:00
USD,2.0,Import Price Index (MoM) (Sep),0.10%,0.50%,0.60%,2023-10-13 12:30:00
USD,2.0,Import Price Index (MoM) (Oct),-0.80%,-0.30%,0.40%,2023-11-16 13:30:00
USD,2.0,Import Price Index (MoM) (Nov),-0.40%,-0.80%,-0.60%,2023-12-14 13:30:00
USD,2.0,Import Price Index (MoM) (Dec),0.00%,-0.50%,-0.50%,2024-01-17 13:30:00
USD,2.0,Import Price Index (MoM) (Jan),0.80%,0.00%,-0.70%,2024-02-15 13:30:00
USD,2.0,Import Price Index (MoM) (Feb),0.30%,0.30%,0.80%,2024-03-15 12:30:00
USD,2.0,Import Price Index (MoM) (Mar),0.40%,0.30%,0.30%,2024-04-11 12:30:00
USD,2.0,Import Price Index (MoM) (Apr),0.90%,0.20%,0.60%,2024-05-16 12:30:00
